Experiment Number,compress,maxStreams,sourceDatabasetoTargetDatabase,tables,Experiment startTime,logTime,logType,logLocation,logDescription
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:38.274,TRACE,<1126:MainThread> logger.py:81,"UNLOAD: /usr/bin/python3 /usr/local/ibm_migration_platform/db_migr/scenarios/db2_db2/connection/query_script.py SOURCE libdb2.so 206.12.99.99 50000 testdb db2inst1 ***** False CREATE EXTERNAL TABLE '/tmp/db_migr/db_migr-20240415_122831.167609/com.ibm.migration.unload._bk1h2wo/40237b2de4dc4edba39074d609f617c1migr.pipe.001' USING ( LOGDIR '/tmp/db_migr/db_migr-20240415_122831.167609/com.ibm.migration.unload._bk1h2wo/40237b2de4dc4edba39074d609f617c1' BOOLSTYLE '1_0' CCSID 1208 CRINSTRING True DATEDELIM '-' DATESTYLE 'YMD' DECIMALDELIM '.' DELIMITER '|' FORMAT 'TEXT' INCLUDEHEADER False INCLUDEZEROSECONDS True NULLVALUE 'NULL' SOCKETBUFSIZE 8388608 TIMEDELIM ':' TIMESTYLE '24HOUR' ESCAPECHAR '\' COMPRESS GZIP REMOTESOURCE 'YES'  ) AS SELECT * FROM ""DB2INST1"".""TEST"" WHERE DATASLICEID IN (0) SYSTEM"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:38.278,INFO,<1126:MainThread> datasliced_migration.py:101,Starting the transferring process...
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:38.278,TRACE,<1126:MainThread> logger.py:81,"LOAD: /usr/bin/python3 /usr/local/ibm_migration_platform/db_migr/scenarios/db2_db2/connection/query_script.py TARGET libdb2.so 206.12.95.67 50000 testdb db2inst1 ***** False INSERT INTO (SELECT * FROM ""DB2INST1"".""TEST"" LIMIT 0) SELECT * FROM EXTERNAL '/tmp/db_migr/db_migr-20240415_122831.167609/com.ibm.migration.unload._bk1h2wo/40237b2de4dc4edba39074d609f617c1migr.pipe.001' (""O_ORDERKEY"" INTEGER, ""O_CUSTKEY"" INTEGER, ""O_ORDERSTATUS"" CHARACTER(1 OCTETS), ""O_TOTALPRICE"" DECIMAL(10,2), ""O_ORDERDATE"" DATE, ""O_ORDERPRIORITY"" CHARACTER(15 OCTETS), ""O_CLERK"" CHARACTER(15 OCTETS), ""O_SHIPPRIORITY"" INTEGER, ""O_COMMENT"" VARCHAR(79 OCTETS)) USING ( LOGDIR '/tmp/db_migr/db_migr-20240415_122831.167609/com.ibm.migration.unload._bk1h2wo/40237b2de4dc4edba39074d609f617c1' BOOLSTYLE '1_0' CCSID 1208 CRINSTRING True DATEDELIM '-' DATESTYLE 'YMD' DECIMALDELIM '.' DELIMITER '|' FORMAT 'TEXT' INCLUDEHEADER False INCLUDEZEROSECONDS True NULLVALUE 'NULL' SOCKETBUFSIZE 8388608 TIMEDELIM ':' TIMESTYLE '24HOUR' ESCAPECHAR '\' COMPRESS GZIP REMOTESOURCE 'YES' CTRLCHARS True FILLRECORD False IGNOREZERO 'KEEP' MAXERRORS 1 MAXROWS 0 QUOTEDNULL True QUOTEDVALUE 'NO' RECORDDELIM '\n' REQUIREQUOTES False SKIPROWS 0 STRICTNUMERIC False TIMEROUNDNANOS False TRUNCSTRING False Y2BASE 2000  ) SYSTEM"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.816,DEBUG,<1126:MainThread> base_migration.py:403,Successful insertions - 206.12.95.67: 1/1
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.816,DEBUG,<1126:MainThread> base_migration.py:405,Successful insertions - total: 1/1
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.816,DEBUG,<1126:MainThread> base_migration.py:128,Successful extractions: 1/1
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.817,INFO,<1126:MainThread> base_migration.py:374,The transfer has finished successfully
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.817,INFO,<1126:MainThread> base_migration.py:377,"""DB2INST1"".""TEST"" -> ""DB2INST1"".""TEST"" time: 00:01:03.850"
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,12:31:58.818,TRACE,<1126:MainThread> logger.py:81,Removing 1 pipes...
1,GZIP,3,testdb=>testdb,TEST,1713184082.223874,,,,------------------------------------------------------------------------------------------
