Experiment Number,file,stream,compressionType,limit,totalTransferTime,TotalClearTime,dataTransferTime,compressionTime,totalReadingFileTime,sumReadingFileTime,maxReadingFileTime,avgReadingFileTime,sumDataTransferTime,maxDataTransferTime,avgDataTransferTime,sumCompressionTime,maxCompressionTime,avgCompressionTime,sumTotalClearTime,maxTotalClearTime,avgTotalClearTime,sizeOnLocalMachine,sizeOnTargetMachine
4,DS_003.csv,5,None,104857600,189.20619821548462,0,0,0,0,0.566633939743042,0.14416265487670898,0.1133267879486084,778.2335593700409,176.0174527168274,155.6467118740082,0,0,0.0,27.779300212860107,9.701361417770386,5.5558600425720215,488086980,488086980
5,DS_003.csv,5,None,104857600,194.871022939682,0,0,0,0,0.5779962539672852,0.13176465034484863,0.11559925079345704,842.9975519180298,186.07297110557556,168.59951038360595,0,0,0.0,27.456785202026367,9.621352195739746,5.491357040405274,488086980,488086980
average,DS_003.csv,5,None,104857600,191.6938005447388,0,0,0,0,0.5519268989562989,0.13101325035095213,0.11038537979125977,824.8525550842285,181.61106338500977,164.97051101684568,0.0,0.0,0.0,24.548328018188474,8.839534759521484,4.909665603637696,488086980,488086980
1,DS_003.csv,5,gzip,104857600,75.84814715385437,0,0,0,0,0.4303734302520752,0.10435819625854492,0.08607468605041504,274.13392186164856,63.786031007766724,54.82678437232971,19.00428032875061,3.9725561141967773,3.8008560657501222,26.589245557785034,9.543628215789795,5.317849111557007,488086980,179510801
2,DS_003.csv,5,gzip,104857600,74.21463441848755,0,0,0,0,0.3920927047729492,0.08412623405456543,0.07841854095458985,243.30557107925415,64.04576206207275,48.66111421585083,18.4780375957489,3.722254753112793,3.6956075191497804,18.679523468017578,7.516029119491577,3.7359046936035156,488086980,179510801
3,DS_003.csv,5,gzip,104857600,75.56137299537659,0,0,0,0,0.4371802806854248,0.11433720588684082,0.08743605613708497,243.36121010780334,61.55544447898865,48.67224202156067,19.306292057037354,4.207180023193359,3.8612584114074706,26.584613800048828,9.592210292816162,5.316922760009765,488086980,179510801
4,DS_003.csv,5,gzip,104857600,75.00696992874146,0,0,0,0,0.42853331565856934,0.08901381492614746,0.08570666313171386,260.0719356536865,62.604894161224365,52.014387130737305,19.193578720092773,4.154593467712402,3.838715744018555,18.815710306167603,7.338945388793945,3.7631420612335207,488086980,179510801
5,DS_003.csv,5,gzip,104857600,75.5724229812622,0,0,0,0,0.4098935127258301,0.09293437004089355,0.08197870254516601,273.3845295906067,64.92255353927612,54.676905918121335,19.201191663742065,4.133302927017212,3.840238332748413,18.38863778114319,7.411102056503296,3.677727556228638,488086980,179510801
average,DS_003.csv,5,gzip,104857600,75.24070949554444,0,0,0,0,0.4196146488189697,0.09695396423339844,0.08392292976379395,258.85143365859983,63.38293704986572,51.77028673171997,19.036676073074343,4.037977457046509,3.8073352146148682,21.811546182632448,8.280383014678955,4.36230923652649,488086980,179510801
1,DS_003.csv,5,lz4,104857600,107.25492000579834,0,0,0,0,0.49520444869995117,0.10657596588134766,0.09904088973999023,429.0569739341736,100.64618039131165,85.81139478683471,1.0558452606201172,0.21596956253051758,0.21116905212402343,20.65358591079712,7.764482021331787,4.130717182159424,488086980,272526869
2,DS_003.csv,5,lz4,104857600,115.48933410644531,0,0,0,0,0.42114877700805664,0.10840749740600586,0.08422975540161133,487.93414878845215,105.90224719047546,97.58682975769042,1.0547637939453125,0.21958661079406738,0.2109527587890625,19.355491399765015,7.564292669296265,3.871098279953003,488086980,272526869
3,DS_003.csv,5,lz4,104857600,108.33086514472961,0,0,0,0,0.524724006652832,0.11744880676269531,0.10494480133056641,454.4469361305237,103.61172652244568,90.88938722610473,1.0778639316558838,0.2244739532470703,0.21557278633117677,14.072600841522217,5.65585732460022,2.814520168304443,488086980,272526869
4,DS_003.csv,5,lz4,104857600,105.71661067008972,0,0,0,0,0.5308594703674316,0.124481201171875,0.10617189407348633,408.80878829956055,99.31699252128601,81.7617576599121,1.0678179264068604,0.22815418243408203,0.21356358528137206,20.01067852973938,7.676147937774658,4.002135705947876,488086980,272526869
5,DS_003.csv,5,lz4,104857600,104.47382497787476,0,0,0,0,0.512706995010376,0.12680506706237793,0.10254139900207519,405.1885492801666,96.06492328643799,81.03770985603333,1.0720915794372559,0.22092270851135254,0.21441831588745117,19.931668281555176,7.737137079238892,3.986333656311035,488086980,272526869
average,DS_003.csv,5,lz4,104857600,108.25311098098754,0,0,0,0,0.49692873954772954,0.11674370765686036,0.09938574790954591,437.0870792865753,101.10841398239137,87.41741585731506,1.065676498413086,0.22182140350341797,0.21313529968261719,18.80480499267578,7.2795834064483635,3.7609609985351566,488086980,272526869
total Experiment Time(hours),2.2383624988132054
